prefix,iri
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#,nss4
http://dbpedia.org/property/sportsReporter,,nss395
http://dbpedia.org/property/averageAttendance(league),nsi633
http://dbpedia.org/property/rank(iam),nsi685
http://dbpedia.org/property/7',nsi758
http://dbpedia.org/property/spill/,nss335
http://dbpedia.org/property/120,nss344
http://dbpedia.org/property/c''%5E%5Cmarkup%7B%5Cnote%7B1.%7D%23,nsi926
http://dbpedia.org/property/restingPlace(gadduge),nsi676
http://dbpedia.org/property/''otanoshimiHizVideo+ZenSingleClip%3Cnowiki%3E,nsi751
http://dbpedia.org/property/sectors(valueAdded),nsi771
http://dbpedia.org/property/northShore&,nss398
http://dbpedia.org/property/125,nss34
http://dbpedia.org/property/sv/,nss100
http://dbpedia.org/property/minorForwardProduct(s),nsi613
http://dbpedia.org/property/80,nss42
http://dbpedia.org/property/headquarterOfThePeople',nsi935
http://dbpedia.org/property/67,000,nss149
http://dbpedia.org/property/1lEnrollmentFall',nsi732
http://dbpedia.org/property/viceCaptain(s),nsi592
http://dbpedia.org/property/creator(s),nsi601
http://dbpedia.org/property/shipSpeedAfterReboilering(1898),nsi909
http://dbpedia.org/property/psaMostRecentChampion(s),nsi648
http://dbpedia.org/property/%22theArea%22,nss290
http://dbpedia.org/property/icapps(points),nsi643
http://dbpedia.org/property/leftOutIntermediateBronze(ib),AkaEbIv/,nsi730
http://dbpedia.org/property/us/,nss233
http://dbpedia.org/property/7000,nss122
http://dbpedia.org/property/nonbi%23,nss366
http://dbpedia.org/property/master',nsi827
http://dbpedia.org/property/1943,nss515
http://dbpedia.org/property/20061115,nss528
http://dbpedia.org/property/stops(intermediate),nsi903
http://dbpedia.org/property/ncaaIi/,nss72
http://dbpedia.org/property/.%22%7D%5Caddlyrics%7BPulTusEst,SePulTusEst.%7D%3E%3E%5CnewStaff%3C%3C%5C,nss390
http://dbpedia.org/property/cyears1,,nss370
http://dbpedia.org/property/shalalile/,nss394
http://dbpedia.org/property/radio',nsi740
http://dbpedia.org/property/gr9%23,nss204
http://dbpedia.org/property/section%5C,nss91
http://dbpedia.org/property/sp/,nss167
http://dbpedia.org/property/topSpeed(standardNoRestrictions),nsi691
http://dbpedia.org/property/populationAsOf11,,nsi897
http://dbpedia.org/property/landArea(sq.Mi),nsi754
http://dbpedia.org/property/iron(inMg),nsi950
http://dbpedia.org/property/battles/,nss244
http://dbpedia.org/property/originCity(hometown),nsi832
http://dbpedia.org/property/300,nss364
http://dbpedia.org/property/krf/sp/,nss510
http://dbpedia.org/property/bench1F/,nss212
http://dbpedia.org/property/lit.%22you%3Cnowiki%3E,nss234
http://dbpedia.org/property/club(s),nsi609
http://dbpedia.org/property/change%25,nss200
http://dbpedia.org/property/n%7D,nss351
http://dbpedia.org/property/inflationRate(consumerPrices),nsi772
http://dbpedia.org/property/coachwin%25,nss92
http://dbpedia.org/property/%3Cbr/%3E,nss508
http://dbpedia.org/property/%3Ctimeline%3E,nss375
http://dbpedia.org/property/colorc%23,nss469
http://dbpedia.org/property/vagueUseOfTermsLeadsToMistakes.TheTypeSite,Tul.Gh.,ShowsContinuityBetweenItsOwnLateNeolithicAndEarlyChalcolithicPhases.ThisDoesNotMeanThatThePhase/culture%22ghassulian%22,NamedAfterTheSite,IsIdenticalWithTheEntiretyOfTheLevantineChalcolithic,SoItsDatesShouldBeBasedOnAllGhassulianSites,NotJustT.Gh.ResultAStartingDateOf%22mid5m%22,nss249
http://dbpedia.org/property/image',nsi743
http://dbpedia.org/property/projectFounder(s),nsi807
http://dbpedia.org/property/seniorEditor,,nss424
http://dbpedia.org/property/push~,nss255
http://dbpedia.org/property/bench1G/,nss145
http://dbpedia.org/property/image+,nss148
http://dbpedia.org/property/gravePlace(s),nsi665
http://dbpedia.org/property/carNumber(s),nsi715
http://dbpedia.org/property/howIsThisAHiddenMeaning%3F,nss497
http://dbpedia.org/property/founder(s),nsi764
http://dbpedia.org/property/''borderBreak''*FiscalYearEnded31March20103.3&nbsp;billion*FiscalYearEnded31March20112.5&nbsp;billion*FiscalYearEnded31March20122.3&nbsp;billion*1stQuarterEnded30June20120.5&nbsp;billion*CurrencyConversion**3.3,nsi692
http://dbpedia.org/property/strength&,nss165
http://dbpedia.org/property/area,,nss585
http://dbpedia.org/property/ap/sp/,nss523
http://dbpedia.org/property/keel&,nss495
http://dbpedia.org/property/fuel&,nss134
http://dbpedia.org/property/trailBogie/,nss324
http://dbpedia.org/property/judge',nsi623
http://dbpedia.org/property/literacyRate(%25),nsi858
http://dbpedia.org/property/carrier(s),nsi616
http://dbpedia.org/property/yr.%3Cnowiki%3E,nss456
http://dbpedia.org/property/area(s),nsi891
http://www.ontologydesignpatterns.org/ont/d0.owl#,nss9
http://dbpedia.org/property/(42,),nsi862
http://dbpedia.org/property/%3Csmall%3E%3C,nss441
http://dbpedia.org/property/currentMen',nsi656
http://dbpedia.org/property/1997PresentClapps(points),nsi733
http://dbpedia.org/property/fire+Ashes+,nss274
http://dbpedia.org/property/3000,nss576
http://dbpedia.org/property/''sangokushiTaisen3''*FiscalYearEnded31March20101.8&nbsp;billion*FiscalYearEnded31March20112.6&nbsp;billion*CurrencyConversion**1.8,nsi693
http://dbpedia.org/property/image&nbsp;&nbsp;&nbsp;,nsi873
http://dbpedia.org/property/starterG/,nss578
http://dbpedia.org/property/middle/,nss152
http://dbpedia.org/property/%22commandVehicle%22,nss464
http://dbpedia.org/property/starterF/,nss99
http://dbpedia.org/property/instagram/,nss47
http://dbpedia.org/property/liga3(2008),nsi870
http://dbpedia.org/property/pantothenic(inMg),nsi954
http://dbpedia.org/property/season2021/2022SerieC1Futsal(primoClassificato),nsi884
http://dbpedia.org/property/(,42),nsi861
http://dbpedia.org/property/tiesW/,nss164
http://dbpedia.org/property/operators&,nss66
http://dbpedia.org/property/report&nbsp;&nbsp;,nsi594
http://dbpedia.org/property/500,nss16
http://dbpedia.org/property/ispartaFirstAmateurLeague,1,nss563
http://dbpedia.org/property/locale%25,nss368
http://dbpedia.org/property/speed2Km/,nss142
http://dbpedia.org/property/facebookWww.facebook.com/druke2017/%3F,nss182
http://dbpedia.org/property/nameChange(s),nsi744
http://purl.org/ontology/bibo/,nss7
http://dbpedia.org/property/secondaryMembers(%3E5%25),nsi795
http://dbpedia.org/property/chromosome(yeast),nsi886
http://dbpedia.org/property/seats67+,nss325
http://dbpedia.org/property/coach(es),nsi729
http://dbpedia.org/property/death12.september,2012,nss465
http://dbpedia.org/property/isbn%23,nss460
http://dbpedia.org/property/cello,,nss512
http://dbpedia.org/property/chairmanYouthDivision),nsi940
http://dbpedia.org/property/headquarter(nizamuddinFaction),nsi622
http://dbpedia.org/property/telephone/,nss308
http://dbpedia.org/property/wardrobe&,nss384
http://dbpedia.org/property/totalDamages(usd),nsi622
http://dbpedia.org/property/linecolor&nbsp;&nbsp;&nbsp;&nbsp;,nsi802
http://dbpedia.org/property/officialName%5E%5E%5Eemilyvvvv%5E%5E%5E,nss569
http://dbpedia.org/property/accelerationKm/,nss380
http://dbpedia.org/property/seats%25,nss561
http://dbpedia.org/property/wife(wives),nsi745
http://dbpedia.org/property/teacher%23,nss354
http://dbpedia.org/property/averageAttendance(telstraDome),nsi627
http://dbpedia.org/property/onlySnippetsAvailableOnline,ButProbablyP.271,Not241.MaterialHerePoorlyEdited,,nss156
http://dbpedia.org/property/''worldClubChampionFootballIntercontinentalClubs''*FiscalYearEnded31March20104.2Billion*FiscalYearEnded31March20113.8&nbsp;billion*FiscalYearEnded31March20123.6&nbsp;billion*1stQuarterEnded30June20120.5&nbsp;billion*CurrencyConversion**4.2,nsi697
http://dbpedia.org/property/badajoz%3C,nss402
http://dbpedia.org/property/52/,nss431
http://dbpedia.org/property/20020122,nss529
http://dbpedia.org/property/internationalCup(s),nsi604
http://dbpedia.org/property/headOfNews&,nss472
http://dbpedia.org/property/bore',nsi755
http://dbpedia.org/property/name''',nsi808
http://dbpedia.org/property/captain(women),nsi817
http://dbpedia.org/property/rims,F/,nss565
http://dbpedia.org/property/nextYear',nsi618
http://dbpedia.org/property/gdp(nominal),nsi932
http://dbpedia.org/property/managingDirector/,nss160
http://dbpedia.org/property/motto'''',nsi706
http://dbpedia.org/property/'''note''',nsi962
http://dbpedia.org/property/productionGasMmscm/,nss331
http://dbpedia.org/property/grsp%23,nss543
http://dbpedia.org/property/chairman(minisDivision),nsi938
http://dbpedia.org/property/thrust(sl),nsi658
http://dbpedia.org/property/assembly%23,nss426
http://dbpedia.org/property/colora%23,nss584
http://dbpedia.org/property/winner(s),nsi591
http://dbpedia.org/property/@%22(%3F%3CnumInt%3E%5Cd+)%5Cw+%22,nsi864
http://dbpedia.org/property/send/,nss115
http://dbpedia.org/property/pincode(s),nsi811
http://dbpedia.org/property/cupWinners',nsi639
http://dbpedia.org/ontology/School/,nsi605
http://dbpedia.org/property/vitb6(pyridoxine),nsi879
http://dbpedia.org/property/,nss10
http://dbpedia.org/property/human+,nss509
http://dbpedia.org/property/landArea(sq.Km),nsi753
http://dbpedia.org/property/ketinggian/,nss333
http://dbpedia.org/property/largestparish/,nss150
http://dbpedia.org/property/105,000,000,nss568
http://dbpedia.org/property/mazurek,,nss357
http://dbpedia.org/ontology/Rocket/,nsi608
http://dbpedia.org/property/some(n),nsi866
http://dbpedia.org/property/elevation/,nss48
http://dbpedia.org/property/theBodySaysThereWere21PeopleOnBoard.16Dead+5,nss130
http://dbpedia.org/property/2020/06/24/85,nss438
http://dbpedia.org/property/collector',nsi924
http://dbpedia.org/property/nonsensical.WhoCastHer,TheUs%22creators%22,nss462
http://dbpedia.org/property/shouldn',nsi728
http://dbpedia.org/property/ceo/,nss78
http://dbpedia.org/property/nieces/,nss294
http://dbpedia.org/property/ton.%3Cnowiki%3E,nss153
http://dbpedia.org/property/discoveriesSince2018;,nss293
http://dbpedia.org/property/uic/germany/,nss562
http://dbpedia.org/property/years1,,nss564
http://dbpedia.org/property/gr11%23,nss237
http://dbpedia.org/property/name%3Cnowiki%3E,nss486
http://dbpedia.org/ontology/ChemicalSubstance/,nsi610
http://dbpedia.org/property/retired%23,nss371
http://dbpedia.org/property/captain(s),nsi708
http://dbpedia.org/property/2010&2014,nss557
http://dbpedia.org/property/maximaleStauhhe(historical),nsi783
http://dbpedia.org/property/team(s),nsi654
http://dbpedia.org/property/assembly/,nss450
http://dbpedia.org/property/originalOwnerAnd/orOperatorOfTheShipOrTheirAgent.ContemporaneousNewspaperSourcesRarelyStateToWhichCategoryANamedPartyBelongs,ThoughOtherSourcesMayProvideClarification.AbbreviationsFc%3Cnowiki%3E,nss409
http://dbpedia.org/property/rank/,nss339
http://dbpedia.org/ontology/Automobile/,nsi600
http://dbpedia.org/property/clubB&,nss112
http://dbpedia.org/property/footnotesCurrentMla(2019),nsi717
http://dbpedia.org/property/massachusettsNowRequires40%25RpsBy2030,But35%25+9x1%25,nss248
http://dbpedia.org/property/wife',nsi843
http://dbpedia.org/property/%3C/,nss211
http://dbpedia.org/property/literacy(2018),nsi946
http://dbpedia.org/property/caseCapacity(grainsWater),nsi612
http://dbpedia.org/property/oilProductionBbl/,nss420
http://dbpedia.org/property/harfEMukatta',nsi668
http://dbpedia.org/property/city/,nss405
http://dbpedia.org/property/shipBuilder(hull),nsi640
http://dbpedia.org/property/partner(s),nsi683
http://dbpedia.org/property/typicalInternationalNumberFormat(mobile),nsi917
http://dbpedia.org/property/incorperated(town),nsi965
http://dbpedia.org/property/captainMen',nsi922
http://dbpedia.org/property/(assistant),nsi786
http://dbpedia.org/property/equipmentManager/,nss406
http://dbpedia.org/property/knight',nsi624
http://dbpedia.org/property/%3Cnowiki%3EtotalGdpCalculatedAsSumOfGasabo,KicukiroAndNyarugengeDistricts$925,037,044+$537,601,961+$371,304,,nsi824
http://dbpedia.org/property/'''record''',nsi814
http://dbpedia.org/property/composer(s),nsi883
http://dbpedia.org/property/formerSchool(s),nsi677
http://dbpedia.org/property/nkp/,nss292
http://dbpedia.org/property/centralCoast&,nss428
http://dbpedia.org/property/1.MixOfReferenceStyleForJosephus(%2218.27%22OneStyle,%2214.1.4%22Another),VeryPoor.2.HeWritesBetharamphthaWithPh.3.AsWeSeeFromTheQuotedLinesByJosephus,,nsi921
http://dbpedia.org/property/producer/,nss427
http://dbpedia.org/property/nationa;,nss190
http://dbpedia.org/property/track(s),nsi853
http://dbpedia.org/property/na%23,nss393
http://dbpedia.org/property/allMusic&,nss80
http://dbpedia.org/property/settlementDesZonesMbiriziEncoreIlT',nsi602
http://dbpedia.org/property/minorReverseProduct(s),nsi789
http://dbpedia.org/property/jr/,nss124
http://dbpedia.org/property/sc,,nss187
http://dbpedia.org/property/''sengokuTaisen''*FiscalYearEnded31March20116.4&nbsp;billion*FiscalYearEnded31March20121.2&nbsp;billionCurrencyConversion*6.4,nsi694
http://dbpedia.org/property/director/,nss496
http://dbpedia.org/property/height(m),nsi930
http://dbpedia.org/property/children',nsi964
http://dbpedia.org/property/matchW/,nss355
http://dbpedia.org/property/catches/,nss392
http://dbpedia.org/property/presentingTheAncientSiteAsPartOfTheBedouinVillageSeemsPoorlySupportedByEvidence,See%22,nss459
http://dbpedia.org/property/toLeft!,nsi720
http://dbpedia.org/property/formerPartner(s),nsi750
http://dbpedia.org/property/dlf/h/krf/,nss360
http://dbpedia.org/property/significantOther(s),nsi610
http://dbpedia.org/property/cleanSurveyMissionRank(),nsi704
http://dbpedia.org/property/turnout%25,nss479
http://dbpedia.org/property/pleasureTreasureVideo+AllSingleClips%3Cnowiki%3E,nss186
http://dbpedia.org/property/raas(mood),nsi714
http://dbpedia.org/property/calcium(inMg),nsi949
http://dbpedia.org/property/presidents',nsi682
http://dbpedia.org/property/typicalLocalNumberFormat(landline),nsi918
http://dbpedia.org/property/population),nsi716
http://dbpedia.org/property/chanda(meter),nsi947
http://dbpedia.org/property/thrust(vac),nsi615
http://dbpedia.org/property/coinOfBrajanathSingha,,nss172
http://dbpedia.org/ontology/Planet/,nsi597
http://dbpedia.org/property/soleExampleOfType%3F,nss53
http://dbpedia.org/property/language(s),nsi647
http://dbpedia.org/property/captainWomen',nsi923
http://dbpedia.org/property/yes%25,nss13
http://dbpedia.org/property/travel,F/,nss252
http://dbpedia.org/property/2pp%25,nss342
http://dbpedia.org/property/useSe%25,nss15
http://dbpedia.org/property/31/05/1987,nss316
http://dbpedia.org/property/monarch',nsi775
http://dbpedia.org/property/attendance91,,nsi635
http://dbpedia.org/property/camera/,nss287
http://dbpedia.org/property/shogunate(s),nsi664
http://dbpedia.org/property/aBigMess.TheDistinctionIsBetweenArtificialAndNatural.ArtificialCanBeMoatsOrPonds,NaturalRivers,Marshes,Ponds,Lakes,OrTheSea.TheProblemOfLakeshoreCastlesAsListedHere(seeCh),ButWhoAreInNoWaySurroundedByWater,,nsi948
http://dbpedia.org/property/showsBoys,,nss215
http://dbpedia.org/property/populationDensity(perSquareKm),nsi813
http://dbpedia.org/property/brother(s),Sister(s),nsi741
http://dbpedia.org/property/cost(adult),nsi701
http://dbpedia.org/property/%22%7D%5CnewStaff%5CrelativeC'%7B%5CkeyC%5Cmajor%5CclefBass%5Ctime8/4CF,BE,AD,GC,%7D%3E%3E%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5C,nsi747
http://dbpedia.org/property/participation(total),nsi905
http://dbpedia.org/property/power/,nss231
http://dbpedia.org/property/crew(nov.21,1916),nsi792
http://dbpedia.org/property/officers/,nss173
http://dbpedia.org/property/1000,nss546
http://dbpedia.org/property/wctWomen',nsi821
http://dbpedia.org/property/booker(s),nsi600
http://dbpedia.org/property/stipulation(s),nsi723
http://dbpedia.org/property/queen',nsi624
http://dbpedia.org/property/coach(men),nsi818
http://dbpedia.org/property/currentWomen',nsi657
http://dbpedia.org/property/memberOfTheLegislativeAssembly(mla),nsi768
http://dbpedia.org/property/cio/,nss86
http://dbpedia.org/property/elroyAjido',nsi770
http://dbpedia.org/property/times/,nss87
http://dbpedia.org/property/price,,nss532
http://dbpedia.org/property/engine(prop),nsi660
http://dbpedia.org/property/allWriting&,nss243
http://dbpedia.org/property/fuelConsumptionLb/,nss241
http://dbpedia.org/property/usingTheScaleOnThe%22feb.17,1921%22,nss484
http://dbpedia.org/property/lord(s),nsi666
http://dbpedia.org/property/accounting/,nss473
http://dbpedia.org/property/sndiX',nsi929
http://dbpedia.org/property/digitalAudioI/,nss501
http://dbpedia.org/property/chromosome(humans),nsi885
http://dbpedia.org/property/weight(st),nsi672
http://dbpedia.org/property/motive(s),nsi859
http://schema.org/,nss2
http://dbpedia.org/property/averageGoals/,nss574
http://dbpedia.org/property/sa/,nss58
http://dbpedia.org/property/population(2010),nsi874
http://dbpedia.org/ontology/GrandPrix/,nsi599
http://dbpedia.org/property/innerWest&,nss533
http://dbpedia.org/property/f%3F,nss350
http://dbpedia.org/property/whatIsThis%3F%7D,nss468
http://dbpedia.org/property/pitch(s),nsi705
http://dbpedia.org/property/dlf/h/krf/sp/,nss23
http://dbpedia.org/property/leader(mpa),nsi966
http://dbpedia.org/property/h/sp/,nss304
http://dbpedia.org/property/no%25,nss98
http://dbpedia.org/property/longTitle&nbsp;&nbsp;&nbsp;&nbsp;,nsi803
http://dbpedia.org/property/howLargeIsLarge%3F,nss93
http://dbpedia.org/property/lake%22,nss352
http://dbpedia.org/property/bigJoe,,nss12
http://dbpedia.org/property/peakOfProductionGasBcm/,nss256
http://dbpedia.org/property/tvPartner(s),nsi637
